end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,1,N,B,N,0,-1,12,1,9.265349453393557e-16,0.07302763298823589,1.4306011898115376,2.2268697618260473,0.23002962760408247,0.26787517493351753,False,,,0.0706,0.10128125189257663,2.2279836774332398,1.9601085024997222,1.1877133309063954,True,False
LOWER,1,N,B,N,0,-1,12,-1,1.013736221738174e-15,0.17767126322229587,0.3102073857218622,0.44126302698504316,0.23002962760408247,0.26787517493351753,False,,,0.1066,0.20751526192571104,0.4539565597687918,0.18608138483527425,0.07882452443344663,True,False
LOWER,1,N,B,N,0,-1,13,1,1.0668553069238878e-15,0.17826145704694396,1.4705375698095462,2.3086275865993255,0.23002962760408247,0.26787517493351753,False,,,0.05,0.18515239456310018,2.30916367571236,2.0412885007788426,1.2125056469891673,True,False
LOWER,1,N,B,N,0,-1,13,-1,9.412195257187375e-16,0.17740920660191473,0.31019282865237846,0.44124578585997176,0.23002962760408247,0.26787517493351753,False,,,0.106,0.2065384231791274,0.4537628855086904,0.18588771057517284,0.07889963729665021,True,False
LOWER,1,N,B,N,0,-1,14,1,9.895503733384761e-16,0.334949346658226,1.469281150911221,2.3248806180135477,0.23002962760408247,0.26787517493351753,False,,,0.05,0.33866065064660406,2.3254304601357405,2.057555285202223,1.2025966482422128,True,False
LOWER,1,N,B,N,0,-1,14,-1,9.149942140093403e-16,0.17756260772194768,0.31021653059539295,0.4412445946240304,0.23002962760408247,0.26787517493351753,False,,,0.10619999999999999,0.2068182049824459,0.45396784451507305,0.18609266958155551,0.07901000710610871,True,False
LOWER,1,N,B,N,1,1,0,1,9.717387120836265e-16,0.17767962268971435,0.31015807543622714,0.44128835316923987,0.23002962760408247,0.26787517493351753,False,,,0.1069,0.20733843250312434,0.454032403643664,0.18615722871014645,0.07884341752509044,True,False
LOWER,1,N,B,N,1,1,0,-1,9.756792266740566e-16,0.07096491020134983,1.431081811810499,2.2485350589573243,0.23002962760408247,0.26787517493351753,False,,,0.13429999999999997,0.15236588107765023,2.2525280168969988,1.9846528419634812,1.1926348467473757,True,False
LOWER,1,N,B,N,1,1,1,1,9.544599945695761e-16,0.17752240789480608,0.31008822764679383,0.4412155122932167,0.23002962760408247,0.26787517493351753,False,,,0.106,0.2068063918326416,0.4537143134253328,0.18583913849181527,0.07884752698196847,True,False
LOWER,1,N,B,N,1,1,1,-1,9.97004128496093e-16,0.33370958083435864,1.4628917867061448,2.3190119235344944,0.23002962760408247,0.26787517493351753,False,,,0.05,0.3374287198157634,2.3195457236181105,2.051670548684593,1.1962490719728132,True,False
