radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.517,71466.32583533767,28651.411048222923,71466.32583533767,28651.411048222923
0.518,82702.73230324627,33156.17460859854,82702.73230324627,33156.17460859854
0.519,95878.6651101994,38438.50950385511,95878.6651101994,38438.50950385511
0.52,111359.44918228193,44644.87736471273,111359.44918228193,44644.87736471273
0.521,129585.12873266748,51951.69537064247,129585.12873266748,51951.69537064247
0.522,151086.99072177798,60571.960634755786,151086.99072177798,60571.960634755786
0.523,176508.0243990229,70763.4525946981,176508.0243990229,70763.4525946981
0.524,206628.32362331386,82838.917002355,206628.32362331386,82838.917002355
0.525,242396.71430118676,97178.7456120752,242396.71430118676,97178.7456120752
0.526,284970.24551666685,114246.80848464454,284970.24551666685,114246.80848464454
