requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
TORSION,TORSION_0035,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0036,B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0037,B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0038,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,96,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0039,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0040,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0041,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0042,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0043,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0044,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0045,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0046,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0047,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
