frame,site,root,family,is_bright_root,expected_bright_root,mapping_preserved,energy_au,energy_eV,fosc,vacuum_energy_eV_same_root,solvent_shift_meV_same_root,source_output
11,PYR2,2,bright_like,True,2,True,0.15059,4.098,0.495368741,4.09,8.000000000000007,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.out
11,PYR3,1,alternate_like,False,2,True,0.14621,3.979,0.007325384,4.001,-22.00000000000024,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.out
11,PYR3,2,bright_like,True,2,True,0.149609,4.071,0.504426624,4.081,-10.000000000000675,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.out
11,PYR4,1,alternate_like,False,2,True,0.147596,4.016,0.004866256,4.015,1.000000000000334,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.out
11,PYR4,2,bright_like,True,2,True,0.150292,4.09,0.518575837,4.089,0.9999999999994458,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.out
11,PYR5,1,bright_like,True,1,True,0.139166,3.787,0.659752246,3.78,7.000000000000117,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.out
11,PYR5,2,alternate_like,False,1,True,0.141625,3.854,0.009241939,3.846,8.000000000000007,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.out
12,PYR2,1,alternate_like,False,2,True,0.146715,3.992,0.003766033,4.001,-9.000000000000341,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.out
12,PYR2,2,bright_like,True,2,True,0.149917,4.079,0.505777416,4.09,-11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.out
12,PYR3,1,alternate_like,False,2,True,0.147436,4.012,0.001832472,4.001,10.999999999999233,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.out
12,PYR3,2,bright_like,True,2,True,0.150161,4.086,0.511610394,4.081,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.out
12,PYR4,1,alternate_like,False,2,True,0.148271,4.035,0.008868421,4.015,20.000000000000462,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.out
12,PYR4,2,bright_like,True,2,True,0.150832,4.104,0.513306446,4.089,14.99999999999968,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.out
12,PYR5,1,bright_like,True,1,True,0.139542,3.797,0.644718639,3.78,17.000000000000348,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.out
12,PYR5,2,alternate_like,False,1,True,0.142202,3.87,0.014434251,3.846,24.00000000000002,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.out
13,PYR2,1,alternate_like,False,2,True,0.147679,4.019,0.002870416,4.001,17.999999999999794,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.out
13,PYR2,2,bright_like,True,2,True,0.150796,4.103,0.505300314,4.09,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.out
13,PYR3,1,alternate_like,False,2,True,0.147252,4.007,0.020813077,4.001,5.999999999999339,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.out
