atom,name,r_ref_nm,r_cur_nm,delta_r_nm
51,B0051,1.23711,1.20791,-0.02920
52,N0052,1.20709,1.20898,0.00189
53,B0053,1.23701,1.30042,0.06341
54,N0054,1.20728,1.22517,0.01790
55,B0055,1.23628,1.28128,0.04500
56,N0056,1.20687,1.21766,0.01079
57,B0057,1.23767,1.24110,0.00342
58,N0058,1.20681,1.19002,-0.01679
59,B0059,1.23679,1.20671,-0.03008
60,N0060,1.20717,1.16305,-0.04412
61,B0061,1.20034,1.13879,-0.06155
62,N0062,1.20034,1.11878,-0.08156
63,B0063,1.20137,1.12340,-0.07797
64,N0064,1.20042,1.11981,-0.08061
65,B0065,1.20030,1.11924,-0.08107
66,N0066,1.20167,1.13485,-0.06683
67,B0067,1.19982,1.15490,-0.04492
68,N0068,1.20124,1.15524,-0.04599
69,B0069,1.20097,1.20036,-0.00061
70,N0070,1.20156,1.18832,-0.01324
71,B0071,1.20070,1.21130,0.01059
72,N0072,1.20162,1.20416,0.00255
73,B0073,1.20001,1.21355,0.01354
74,N0074,1.20120,1.21478,0.01358
75,B0075,1.20074,1.21803,0.01729
76,N0076,1.20174,1.22421,0.02247
77,B0077,1.19991,1.24513,0.04522
78,N0078,1.20089,1.24755,0.04666
79,B0079,1.20143,1.27537,0.07395
80,N0080,1.20143,1.27310,0.07168
81,B0081,1.20128,1.27243,0.07115
82,N0082,1.20128,1.27381,0.07253
83,B0083,1.19947,1.28472,0.08525
84,N0084,1.20089,1.27511,0.07422
85,B0085,1.20040,1.28412,0.08373
86,N0086,1.20126,1.27128,0.07002
87,B0087,1.20123,1.28203,0.08080
88,N0088,1.20123,1.25507,0.05384
89,B0089,1.20087,1.26204,0.06117
90,N0090,1.20087,1.23117,0.03030
91,B0091,1.20082,1.23365,0.03283
92,N0092,1.20082,1.20768,0.00687
93,B0093,1.20078,1.19161,-0.00917
94,N0094,1.20078,1.18805,-0.01273
95,B0095,1.20103,1.16740,-0.03363
96,N0096,1.20103,1.17398,-0.02705
97,B0097,1.19990,1.18366,-0.01625
98,N0098,1.20131,1.18575,-0.01557
99,B0099,1.19951,1.21281,0.01330
100,N0100,1.20090,1.20771,0.00681
101,B0101,1.20100,1.24460,0.04360
102,N0102,1.20191,1.24116,0.03925
103,B0103,1.19945,1.25423,0.05478
104,N0104,1.20064,1.25048,0.04984
105,B0105,1.20027,1.28374,0.08348
106,N0106,1.20027,1.25955,0.05929
107,B0107,1.19955,1.28500,0.08545
108,N0108,1.19955,1.26139,0.06184
109,B0109,1.20119,1.23079,0.02960
110,N0110,1.20210,1.22615,0.02405
111,B0111,1.20000,1.20142,0.00141
112,N0112,1.20140,1.19612,-0.00528
113,B0113,1.20018,1.20298,0.00280
114,N0114,1.20159,1.18450,-0.01708
115,B0115,1.20057,1.19282,-0.00775
116,N0116,1.20057,1.19128,-0.00928
117,B0117,1.20058,1.16446,-0.03612
118,N0118,1.20153,1.16407,-0.03746
119,B0119,1.20029,1.13999,-0.06030
120,N0120,1.20029,1.13007,-0.07022
121,B0121,1.20217,1.11706,-0.08511
122,N0122,1.20511,1.12534,-0.07977
123,B0123,1.20162,1.13216,-0.06946
124,N0124,1.20568,1.14862,-0.05706
125,B0125,1.20237,1.14741,-0.05496
126,N0126,1.20597,1.16025,-0.04572
127,B0127,1.20116,1.16932,-0.03184
128,N0128,1.20547,1.17781,-0.02766
129,B0129,1.20167,1.19418,-0.00749
130,N0130,1.20527,1.19834,-0.00693
131,B0131,1.20168,1.20854,0.00686
132,N0132,1.20579,1.22061,0.01482
133,B0133,1.20233,1.22333,0.02100
134,N0134,1.20542,1.23879,0.03338
135,B0135,1.20228,1.23953,0.03725
136,N0136,1.20526,1.25232,0.04706
137,B0137,1.20248,1.26321,0.06073
138,N0138,1.20469,1.27372,0.06902
139,B0139,1.20144,1.28079,0.07936
140,N0140,1.20590,1.28540,0.07950
141,B0141,1.20159,1.27320,0.07161
142,N0142,1.20583,1.28245,0.07663
143,B0143,1.20199,1.27063,0.06864
144,N0144,1.20559,1.27032,0.06473
145,B0145,1.20210,1.25409,0.05199
146,N0146,1.20566,1.24449,0.03883
147,B0147,1.20171,1.23294,0.03122
148,N0148,1.20465,1.22034,0.01569
149,B0149,1.20127,1.20860,0.00734
150,N0150,1.20527,1.19545,-0.00981
151,B0151,1.20043,1.19208,-0.00835
152,N0152,1.20455,1.19092,-0.01363
153,B0153,1.20191,1.18478,-0.01713
154,N0154,1.20638,1.18957,-0.01681
155,B0155,1.20171,1.18135,-0.02036
156,N0156,1.20531,1.18592,-0.01939
157,B0157,1.20057,1.19791,-0.00266
158,N0158,1.20555,1.20394,-0.00161
159,B0159,1.20239,1.22038,0.01799
160,N0160,1.20599,1.22537,0.01938
161,B0161,1.20204,1.25252,0.05048
162,N0162,1.20520,1.25151,0.04631
163,B0163,1.20192,1.25454,0.05263
164,N0164,1.20490,1.25015,0.04525
165,B0165,1.20186,1.25088,0.04902
166,N0166,1.20594,1.23292,0.02698
167,B0167,1.20218,1.23734,0.03516
168,N0168,1.20439,1.21996,0.01556
169,B0169,1.20213,1.20495,0.00282
170,N0170,1.20573,1.20922,0.00349
171,B0171,1.20089,1.18658,-0.01431
172,N0172,1.20512,1.20408,-0.00104
173,B0173,1.20187,1.19160,-0.01027
174,N0174,1.20547,1.20586,0.00039
175,B0175,1.20143,1.18425,-0.01717
176,N0176,1.20589,1.19158,-0.01431
177,B0177,1.20208,1.14581,-0.05627
178,N0178,1.20620,1.15644,-0.04975
179,B0179,1.20274,1.12005,-0.08268
180,N0180,1.20574,1.12255,-0.08318
181,B0181,1.20579,1.14205,-0.06374
182,N0182,1.20769,1.15366,-0.05403
183,B0183,1.20527,1.16086,-0.04441
184,N0184,1.20750,1.16399,-0.04351
185,B0185,1.20547,1.17164,-0.03383
186,N0186,1.20755,1.17603,-0.03153
187,B0187,1.20597,1.18602,-0.01995
188,N0188,1.20737,1.18960,-0.01777
189,B0189,1.20608,1.20555,-0.00053
190,N0190,1.20700,1.22078,0.01378
191,B0191,1.20629,1.23496,0.02867
192,N0192,1.20825,1.24375,0.03550
193,B0193,1.20674,1.25388,0.04714
194,N0194,1.20774,1.26407,0.05633
195,B0195,1.20599,1.27264,0.06665
196,N0196,1.20815,1.28304,0.07488
197,B0197,1.20589,1.28438,0.07848
198,N0198,1.20772,1.29131,0.08359
199,B0199,1.20628,1.28794,0.08166
200,N0200,1.20768,1.28543,0.07775
201,B0201,1.20512,1.27722,0.07210
202,N0202,1.20728,1.27532,0.06804
203,B0203,1.20623,1.25405,0.04783
204,N0204,1.20709,1.25347,0.04637
205,B0205,1.20630,1.22978,0.02349
206,N0206,1.20756,1.23150,0.02394
207,B0207,1.20694,1.20564,-0.00129
208,N0208,1.20694,1.21144,0.00451
209,B0209,1.20689,1.18872,-0.01817
210,N0210,1.20689,1.20174,-0.00515
211,B0211,1.20615,1.19493,-0.01122
212,N0212,1.20836,1.20457,-0.00379
213,B0213,1.20549,1.18704,-0.01845
214,N0214,1.20772,1.20020,-0.00753
215,B0215,1.20555,1.19596,-0.00959
216,N0216,1.20696,1.20780,0.00083
