component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
145,60,59,True,30,30,2,58,0,145,17137,103.33299999999991,0.0,5.447494307494102e-15,103.33299999999991,0.0,-100.0,100.0,200.0
146,60,59,True,30,30,2,58,0,146,17138,102.93999999999988,9.006089999999984,5.447494307494102e-15,103.33321468476666,0.08726652985875968,-100.0,100.0,200.0
147,60,59,True,30,30,2,58,0,147,17139,101.76299999999995,17.94359999999998,5.447494307494102e-15,103.33286481057219,0.17453328223037445,-100.0,100.0,200.0
148,60,59,True,30,30,2,58,0,148,17140,99.8122999999999,26.744599999999995,5.447494307494102e-15,103.333290184964,0.2617991524276089,-100.0,100.0,200.0
149,60,59,True,30,30,2,58,0,149,17141,97.10159999999998,35.34210000000002,5.447494307494102e-15,103.33336709393532,0.3490659222432869,-100.0,100.0,200.0
150,60,59,True,30,30,2,58,0,150,17142,93.65179999999994,43.67059999999996,5.447494307494102e-15,103.33334867118158,0.43633273802763295,-100.0,100.0,200.0
151,60,59,True,30,30,2,58,0,151,17143,89.4893000000001,51.66670000000008,5.447494307494102e-15,103.33335716688985,0.5235990149180128,-100.0,100.0,200.0
152,60,59,True,30,30,2,58,0,152,17144,84.64570000000002,59.269600000000054,5.447494307494102e-15,103.33334414723066,0.61086557735041,-100.0,100.0,200.0
153,60,59,True,30,30,2,58,0,153,17145,79.15790000000008,66.42140000000008,5.447494307494102e-15,103.3333223620049,0.6981319625272123,-100.0,100.0,200.0
154,60,59,True,30,30,2,58,0,154,17146,73.06770000000003,73.06770000000003,5.447494307494102e-15,103.33333231140864,0.7853981633974483,-100.0,100.0,200.0
155,60,59,True,30,30,2,58,0,155,17147,66.42140000000008,79.15790000000008,5.447494307494102e-15,103.3333223620049,0.8726643642676842,-100.0,100.0,200.0
